HOST_ID,TYPE,CITY,REVIEWS,RATING,GUESTS,ROOMS,PRICE,LAT,LONG,NAME
35822123,Entire home/apt,Lexington,0,0,4,2,750,38.023725,-84.575255,Breeders Cup Weekend
97330197,Entire home/apt,Lexington,0,0,10,6,800,38.024353,-84.570946,Executive home
55792988,Entire home/apt,Lexington,39,5,4,2,92,38.024957,-84.533624,"Adorable cottage close to hospitals, UK & downtown"
47420956,Entire home/apt,Lexington,0,0,4,1,200,38.025509,-84.425893,Hamburg Farms Apts
47017323,Entire home/apt,Lexington,0,0,2,1,100,38.025541,-84.48021,Breeders Cup 1bed Chevy Chase
82311784,Entire home/apt,Lexington,0,0,3,0,44,38.025819,-84.511816,"GREAT LOCATION, COZY & PRIVATE!!!"
12873315,Entire home/apt,Lexington,0,0,4,2,400,38.025879,-84.483817,Quaint duplex near Chevy Chase
22379322,Entire home/apt,Lexington,6,5,6,3,499,38.026043,-84.492876,Chevy Chase Bungalow
31485977,Private room,Lexington,0,0,1,1,40,38.02657,-84.533893,Townhouse Room in the Heart of Lex!
61258137,Entire home/apt,Lexington,8,5,6,3,325,38.026762,-84.479928,Cozy French Cottage on Ridgeway
82311784,Entire home/apt,Lexington,0,0,8,3,195,38.027126,-84.511742,LOCATION!!! Remodeled and Luxury!!!
47140490,Entire home/apt,Lexington,0,0,6,3,1400,38.027266,-84.49009,Luxurious and great location!
43461938,Private room,Lexington,13,5,2,1,60,38.027279,-84.425091,1 Bedroom/1 Bath in Condo (Hamburg)
36223085,Entire home/apt,Lexington,0,0,6,3,715,38.027288,-84.494196,Breeders cup special
43461938,Entire home/apt,Lexington,13,5,4,2,115,38.027531,-84.424811,2 Bedroom/2.5 Bath Condo in Hamburg
40387437,Entire home/apt,Lexington,0,0,6,3,800,38.027536,-84.472803,Great House for Breeders Cup 2015
46039005,Entire home/apt,Lexington,1,0,6,3,500,38.027718,-84.529482,Charming Ranch Convenient Location
43993729,Entire home/apt,Lexington,0,0,4,2,250,38.027973,-84.518875,Downtown rental for Breeders Cup
32124731,Entire home/apt,Lexington,1,0,6,3,895,38.028382,-84.48639,Historic home in Chevy Chase!
951005,Entire home/apt,Lexington,3,5,4,1,68,38.028777,-84.482484,Artist Garden Getaway: Entire Home @ Historic Park
6065054,Private room,Lexington,21,5,1,1,74,38.028788,-84.496715,Bungalow Bordering UK's Campus
46547622,Entire home/apt,Lexington,0,0,6,3,750,38.029248,-84.535844,Last Minute Breeders Cup
11297619,Entire home/apt,Lexington,20,4.5,5,2,110,38.029571,-84.448274,"House on Fortune Hill 2bd, 2.5bth"
