HOST_ID,TYPE,CITY,REVIEWS,RATING,GUESTS,ROOMS,PRICE,NUM_LIST,MULT_LIST,LAT,LONG,NAME
13078323,Entire home/apt,Lexington,13,5,2,1,95,1,No,38.053681,-84.502429,Great location blocks from Rupp
13455654,Entire home/apt,Lexington,8,5,5,2,95,1,No,38.004271,-84.511256,"Cozy remodeled, two bedroom ranch 1mi south of UK"
13740825,Private room,Lexington,3,5,4,1,150,2,Yes,38.037946,-84.476826,Eclectic In Lex-2br/1ba downtown
13740825,Entire home/apt,Lexington,19,5,4,2,125,2,Yes,38.052994,-84.499695,Downtown Abbey-Great Location!
14049552,Entire home/apt,Lexington,52,5,2,1,85,2,Yes,38.049942,-84.505112,Downtown Updated Victorian
14049552,Entire home/apt,Lexington,18,5,2,1,85,2,Yes,38.049953,-84.505207,Downtown Victorian Flat
14472982,Private room,Lexington,67,5,2,1,75,5,Yes,38.050944,-84.47561,Turret room in 1880 Victorian 'castle'~
14472982,Private room,Lexington,21,5,3,1,95,5,Yes,38.051127,-84.475683,Grand room in 1880 Victorian 'castle'~
14472982,Private room,Lexington,36,5,2,1,70,5,Yes,38.051801,-84.47584,Garden room in 1880 Victorian 'castle'~
14472982,Private room,Lexington,9,5,3,1,90,5,Yes,38.0526,-84.476891,Manor room in 1880 Victorian 'castle'~
14472982,Entire home/apt,Lexington,16,5,12,4,295,5,Yes,38.052685,-84.475172,1880 Victorian 'castle'!
14552149,Entire home/apt,Lexington,108,5,2,0,60,4,Yes,38.051713,-84.497192,Studio in Historic Downtown
14552149,Entire home/apt,Lexington,31,5,4,1,74,4,Yes,38.05181,-84.499257,2 Room Suite in Historic Building
14552149,Entire home/apt,Lexington,31,5,2,0,50,4,Yes,38.051825,-84.497896,Studio #3 in Downtown Historic Building
14552149,Entire home/apt,Lexington,74,5,2,1,60,4,Yes,38.052022,-84.499228,Studio #2 in Historic Downtown
14635605,Entire home/apt,Lexington,5,5,10,5,750,1,No,38.009255,-84.568916,Unique home- 3 miles from Keeneland
15573850,Entire home/apt,Nicholasville,0,0,4,1,750,2,Yes,37.913891,-84.616685,BREEDER'S CUP Kinlark - Guest House
15573850,Entire home/apt,Nicholasville,0,0,10,5,2000,2,Yes,37.914082,-84.617919,BREEDER'S CUP - Kinlark
15874097,Private room,Lexington,128,5,5,2,69,2,Yes,38.055489,-84.477973,Exciting Place to Stay and Explore!
15874097,Entire home/apt,Lexington,16,5,10,3,199,2,Yes,38.056148,-84.479381,Fun and Exciting House to Stay!
16351166,Private room,Lexington,13,5,2,1,75,1,No,37.986523,-84.404767,"Quiet,Clean & Convenient"
16439109,Entire home/apt,Lexington,4,5,15,6,1000,1,No,37.934203,-84.4585,Fairyhouse Hall Estate Private Chef
16884205,Private room,Lexington,0,0,2,1,25,1,No,38.099779,-84.538935,Entire second floor for private use
16906263,Entire home/apt,Lexington,1,0,8,2,300,1,No,37.987911,-84.439119,Welcome to Lexington!
16919242,Entire home/apt,Lexington,45,5,2,2,125,1,No,38.052301,-84.498121,FUN location on W. 2nd St.
16929151,Entire home/apt,Lexington,2,0,3,1,79,1,No,38.040936,-84.496086,Vintage Artist Getaway
16975028,Private room,Lexington,1,0,3,1,145,2,Yes,38.030419,-84.481544,Ashland Park House
16975028,Entire home/apt,Lexington,4,5,6,2,250,2,Yes,38.030684,-84.482471,Ashland Park house
17591879,Private room,Lexington,33,5,2,1,85,1,No,38.03927,-84.492526,Near UK campus/ Lex downtown
17644094,Entire home/apt,Lexington,121,5,2,1,53,2,Yes,38.054662,-84.503594,Little House Dwntwn - Close to Rupp
17644094,Entire home/apt,Lexington,55,5,2,1,46,2,Yes,38.055804,-84.502765,UNIQUE!! 1BR Loft-Rupp-Downtown w/ Many Extras.
18205583,Entire home/apt,Lexington,52,5,4,2,95,1,No,38.030392,-84.529359,"Clean, comfy and convenient"
18558911,Entire home/apt,Lexington,1,0,6,2,275,2,Yes,38.036435,-84.487848,Entertainer's Delight
18558911,Entire home/apt,Lexington,13,5,6,3,500,2,Yes,38.053152,-84.496372,Gorgeous Historic Downtown Home
18988062,Private room,Lexington,3,5,1,1,29,4,Yes,38.082676,-84.556572,Another Bedroom by Keeneland Etc.
18988062,Private room,Lexington,7,4.5,1,1,29,4,Yes,38.083423,-84.557065,Bedroom Near Keeneland & KY H. Park
18988062,Entire home/apt,Lexington,45,5,6,3,105,4,Yes,38.089377,-84.547303,"Masterson, Premium King/Queen Beds, Clean Sheets"
18988062,Entire home/apt,Lexington,102,4.5,6,4,119,4,Yes,38.091272,-84.549872,"12 Mn Keenlnd/KY Horse Premium King, Clean Sheets"
19163070,Entire home/apt,Lexington,21,4.5,6,3,145,1,No,38.017564,-84.438966,"3BR, 2BA Home in Lexington, KY"
19525620,Entire home/apt,Lexington,2,0,4,2,95,1,No,38.018466,-84.517861,Historic bungalow walking distance to UK/Arboretum
19655318,Entire home/apt,Lexington,4,5,5,1,200,1,No,38.058159,-84.479913,One of a Kind Loft
19867218,Entire home/apt,Nicholasville,0,0,4,2,349,1,No,37.980023,-84.643626,Log Cabin
